collection,contract,tokenId,buyer,seller,price_eth,marketplace,block,timestamp,txhash
BoredApeYachtClub,0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,9244,0x055e58c54a10fbed282052ae003980a12361c321,0x055e58c54a10fbed282052ae003980a12361c321,11.244373,seaport,19566685,1712038071,0x4eb59dd722d6bec6c08f3eea95a99f67f59c5e96429ff1cf00324398bc82244d
BoredApeYachtClub,0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,9244,0xf15c93562bc3944a68e938ef75d2a3360d98ca57,0x055e58c54a10fbed282052ae003980a12361c321,12.060027,seaport,19566685,1712038071,0x4eb59dd722d6bec6c08f3eea95a99f67f59c5e96429ff1cf00324398bc82244d
BoredApeYachtClub,0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,908,0xe4c2da717d52ad64640d62e292073ee204d13764,0x134a7948e1363a95ee17a23c63b927152c4021ec,14.269,seaport,19560787,1711966569,0x7b5a79e5410774f24d8cc6306f1c6b4588d73e7ed7cfdf40045143729272a04f
BoredApeYachtClub,0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,1411,0xc1809a8ccf6eca8aec70ce2d5004dcb7391a0dd0,0xc1809a8ccf6eca8aec70ce2d5004dcb7391a0dd0,11.268209,seaport,19558145,1711934540,0xff249a0d34b6c7e5016c9e005508651d0b2e44acd69bdeeca4f5f2302cabb370
BoredApeYachtClub,0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,1411,0xf15c93562bc3944a68e938ef75d2a3360d98ca57,0xc1809a8ccf6eca8aec70ce2d5004dcb7391a0dd0,12.085591,seaport,19558145,1711934540,0xff249a0d34b6c7e5016c9e005508651d0b2e44acd69bdeeca4f5f2302cabb370
BoredApeYachtClub,0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,269,0x5a6b8d19c8c789df7f97aad0e47565d245a10907,0xf15c93562bc3944a68e938ef75d2a3360d98ca57,12.989,seaport,19557870,1711931207,0x1301be7c9008fc33c3b07aa4c915c6d3692fbc837c8619940dec243f7d358eec
BoredApeYachtClub,0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,2413,0xb510a8f85a6216b065a6315002b6c75519768ba9,0x089be23d7eaf3cdcd18097f69dd5218389b02908,12.0,seaport,19546711,1711795926,0x15a37561a61e4f9cc0893a92a77eb2c0d5095711f56d5140c5a8465840284ee0
BoredApeYachtClub,0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,5920,0x738b6b43c94928f6accb0c941b9368878f0fd3b5,0x738b6b43c94928f6accb0c941b9368878f0fd3b5,11.916645,seaport,19545381,1711779803,0x3be25260173f0cc36c4d7e642d9d9abcd5823a503163ce0925a58c32450dfeb3
BoredApeYachtClub,0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,5920,0x3e316f6abe52fc5cf70a6c9c0932dcb1fcbf3d62,0x738b6b43c94928f6accb0c941b9368878f0fd3b5,12.527755,seaport,19545381,1711779803,0x3be25260173f0cc36c4d7e642d9d9abcd5823a503163ce0925a58c32450dfeb3
BoredApeYachtClub,0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,2008,0xa21a744957e0a483cfc2cebd312c2aeb24d53397,0xa21a744957e0a483cfc2cebd312c2aeb24d53397,11.760648,seaport,19545137,1711776845,0x272e2f25900ba24d45729d4f33d2b3c92658d89c87868f75255b98475a91a70a
BoredApeYachtClub,0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,2008,0xf15c93562bc3944a68e938ef75d2a3360d98ca57,0xa21a744957e0a483cfc2cebd312c2aeb24d53397,12.613752,seaport,19545137,1711776845,0x272e2f25900ba24d45729d4f33d2b3c92658d89c87868f75255b98475a91a70a
BoredApeYachtClub,0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,7953,0xa21a744957e0a483cfc2cebd312c2aeb24d53397,0xa21a744957e0a483cfc2cebd312c2aeb24d53397,11.573445,seaport,19545080,1711776154,0x6158f7daf3c3444f1fed35965ba36d7c98724c6659f3e4428171884f20d7c25a
BoredApeYachtClub,0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,7953,0x3e316f6abe52fc5cf70a6c9c0932dcb1fcbf3d62,0xa21a744957e0a483cfc2cebd312c2aeb24d53397,12.166955,seaport,19545080,1711776154,0x6158f7daf3c3444f1fed35965ba36d7c98724c6659f3e4428171884f20d7c25a
BoredApeYachtClub,0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,3265,0xa21a744957e0a483cfc2cebd312c2aeb24d53397,0xa21a744957e0a483cfc2cebd312c2aeb24d53397,11.454936,seaport,19545077,1711776117,0xdaaf8426c61c8d179620b21047d85f1fa318bd6b301e066dcd4a1cc6351df440
BoredApeYachtClub,0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,3265,0xf15c93562bc3944a68e938ef75d2a3360d98ca57,0xa21a744957e0a483cfc2cebd312c2aeb24d53397,12.285864,seaport,19545077,1711776117,0xdaaf8426c61c8d179620b21047d85f1fa318bd6b301e066dcd4a1cc6351df440
BoredApeYachtClub,0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,7453,0x3f9343a5b2d1ccad06a07219b7d74e3cbff1b8cb,0x4b25d8ba0910f41ceb3fe2ba48d3082ed12cd8e3,15.24091,seaport,19540255,1711717661,0x9496f920c681ffbb2fc8371a06c2ecb2c64acad001b7192a11e3f6c1d32a6485
BoredApeYachtClub,0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,9619,0x0097b9cfe64455eed479292671a1121f502bc954,0x203e9365406b215c6d52fcf9a59242db952b0aec,16.171,seaport,19535851,1711664271,0x1f23b6aa47a98eb248606541b27e4423a7463ad6e4ff7df5d71c85d571a52186
BoredApeYachtClub,0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,2781,0xc6e91d990d093e7820ab65f3ef2dc8018d0a3c42,0x782de3f99f9c73c125a5e6b494373a3c68a2a914,15.75,seaport,19531662,1711613488,0x54e58656a582dd757c38f244c29bc856ff091dc94255049db6b341b0f000a539
BoredApeYachtClub,0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,9968,0xd8b9c8951dd24019ee4e0d5902ac18530f3f7b21,0x3f9343a5b2d1ccad06a07219b7d74e3cbff1b8cb,13.6,x2y2,19525230,1711535513,0xaa6ecc3f245c4e381eb6c119ae81b9a59f373c4a857a8211c826ec3a8f70c067
BoredApeYachtClub,0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,6523,0x8be74a1fa04f840a94b17d9887363d863d448a77,0x8be74a1fa04f840a94b17d9887363d863d448a77,12.768113,seaport,19519532,1711466436,0xd347553c96a62797052e6a6f947a0518caac66f915bd4fea0ee283ff07fb3555
BoredApeYachtClub,0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,6523,0x0097b9cfe64455eed479292671a1121f502bc954,0x8be74a1fa04f840a94b17d9887363d863d448a77,13.422887,seaport,19519532,1711466436,0xd347553c96a62797052e6a6f947a0518caac66f915bd4fea0ee283ff07fb3555
BoredApeYachtClub,0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,4474,0x19bc4318a7a2096d395b12e80e290e1e883dbe82,0x19bc4318a7a2096d395b12e80e290e1e883dbe82,20.475,seaport,19515924,1711422697,0x0fd34883f4b44b0881e97e4cbc16cb5560786550154069b594478c38b5faf365
BoredApeYachtClub,0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,4474,0x3820c123ca814d9e05c46f30e3b7bb3bab905af5,0x19bc4318a7a2096d395b12e80e290e1e883dbe82,21.525,seaport,19515924,1711422697,0x0fd34883f4b44b0881e97e4cbc16cb5560786550154069b594478c38b5faf365
BoredApeYachtClub,0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,5174,0x134a7948e1363a95ee17a23c63b927152c4021ec,0x134a7948e1363a95ee17a23c63b927152c4021ec,22.425,seaport,19513129,1711388813,0x057cda0ce6e9a48eddf34b164e454f8fb1ccc39d2b49a3fc86cfa2821feac38d
BoredApeYachtClub,0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,5174,0x3820c123ca814d9e05c46f30e3b7bb3bab905af5,0x134a7948e1363a95ee17a23c63b927152c4021ec,23.575,seaport,19513129,1711388813,0x057cda0ce6e9a48eddf34b164e454f8fb1ccc39d2b49a3fc86cfa2821feac38d
BoredApeYachtClub,0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,839,0x6c05da12487308ca8824c3741b3d6f89fc4b512b,0x6c05da12487308ca8824c3741b3d6f89fc4b512b,16.575,seaport,19512695,1711383552,0xe94e6dfb4e21770da672896570231bb47aebed565fa27ea5810a86368899306f
BoredApeYachtClub,0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,839,0x3820c123ca814d9e05c46f30e3b7bb3bab905af5,0x6c05da12487308ca8824c3741b3d6f89fc4b512b,17.425,seaport,19512695,1711383552,0xe94e6dfb4e21770da672896570231bb47aebed565fa27ea5810a86368899306f
BoredApeYachtClub,0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,3878,0x063c5ba36e9a6d1787e23c9d8348adbf77de3d82,0x6d0267156f1c6ce44caa4bf129b76009d3d41830,16.0,x2y2,19509828,1711348795,0xa41147fd9bd859b83e95e645ed22bc41c516608f45ad0183c03b8bde466c0fb9
BoredApeYachtClub,0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,394,0xeba1435844c075d8f163fbdb128b27746c1ed169,0x11c87339c894a5384907eadcd31f7ad67338590c,15.99,seaport,19509628,1711346370,0x3d5d1edb4015ea11fcf6e7f69a3b54162d0e710442b18b4b9352e7fa03d0ec7d
