sale_id,price_eth,price_z,buyer_activity,seller_activity,token_gap_h,mkt_code,label_wash
864,25.2,-0.09071044090311152,1,2,473.34,1,0
865,6.5,-1.1836270488942742,16,5,37.02472222222222,1,0
866,25.7,-0.06148807170548684,2,5,473.34,2,0
867,31.0,0.24826904178933473,9,1,473.34,2,0
868,6.0,-0.1554158259321432,15,1,473.34,2,0
869,36.0,0.5404927337655815,2,1,1674.7580555555555,1,0
870,4.2498,-0.31620960825904426,5,56,473.34,1,0
871,2.55,-1.4144837655555091,5,2,473.34,1,0
872,38.41,0.6813445532981321,11,1,473.34,1,0
873,26.5,-0.014732280989287326,1,33,473.34,1,0
874,27.0,0.014490088208337347,16,2,473.34,1,0
875,3.0,-1.388183633277647,16,19,473.34,1,1
876,25.84,-0.0533058083301519,21,1,473.34,1,0
877,33.33,0.3844452822502656,21,1,1683.9119444444445,1,0
878,33.99,0.42301880959113036,21,10,23.76888888888889,1,0
879,41.0,0.8327164257418281,21,2,473.34,1,0
880,42.69,0.9314880336297995,21,1,473.34,1,0
881,26.5,-0.014732280989287326,4,1,473.34,1,0
882,25.9,-0.04979912402643701,4,4,473.34,1,0
883,25.99,-0.044539097570864584,4,2,172.0197222222222,1,0
884,26.1,-0.03811017634738698,4,1,473.34,1,0
885,26.9,0.008645614368812329,4,2,473.34,1,0
886,0.35,-0.6744907146002902,6,3,473.34,1,0
887,4.078035,-0.3319899442328645,1,1,473.34,1,1
888,25.69697,-0.06166515926282439,3,4,473.34,2,0
889,26.1,-0.03811017634738698,1,3,0.3055555555555556,2,0
890,3.0,-1.388183633277647,1,3,23.100555555555555,1,0
891,7.25,-0.04057624879317263,18,4,473.34,1,0
892,26.5,-0.014732280989287326,14,27,473.34,1,0
893,27.0,0.014490088208337347,14,4,473.34,1,0
894,4.5,-0.29322331849890787,8,1,473.34,2,0
895,26.342069,-0.02396251696878753,2,4,473.34,2,0
896,26.542069,-0.012273569289737494,9,4,473.34,2,0
897,38.0,0.6573822105560801,1,23,473.34,2,0
898,3.0,-1.388183633277647,4,14,445.44555555555553,1,0
899,41.0,0.8327164257418281,16,12,473.34,1,1
900,27.0,0.014490088208337347,1,1,473.34,1,0
901,24.72964,-0.11820050805470096,1,1,473.34,1,1
902,5.0,-0.24728748764331965,3,2,1803.4986111111111,2,0
903,26.64,-0.006550017613952384,6,4,473.34,1,0
904,34.0,0.4236032569750828,1,1,473.34,1,0
905,26.6999,-0.003049177784077009,3,56,473.34,2,0
906,45.69,3.49097042738445,3,3,473.34,2,0
907,27.0,0.014490088208337347,6,19,18.185277777777777,1,0
908,5.2,-0.22891315530108433,10,1,473.34,1,0
909,4.6734,-0.2772927723581899,10,2,1219.5894444444446,1,0
910,4.68,-0.27668641939089617,10,2,473.34,1,0
911,4.69,-0.2757677027737843,10,2,1242.1675,1,0
912,4.727,-0.27236845129047077,10,1,473.34,1,0
913,4.869,-0.25932267532748376,10,2,473.34,1,0
914,4.9,-0.25647465381443724,10,1,473.34,1,0
915,4.45,-0.29781690158446666,10,1,473.34,1,0
916,4.99,-0.24820620426043138,10,4,473.34,1,0
917,4.6,-0.2840361523277903,10,1,473.34,1,0
918,5.9,-0.16460299210326082,1,1,473.34,1,0
919,1.3,-1.4875396885495709,16,2,174.57833333333335,1,0
920,5.6,-0.1921644906166138,1,1,936.5347222222222,2,0
921,5.0,-0.24728748764331965,18,2,473.34,1,0
922,34.125,0.4309088492744889,13,7,473.34,1,1
923,26.66,-0.005381122846047422,1,5,473.34,1,0
924,4.958,-0.25114609743518906,2,5,457.61083333333335,1,0
925,4.8,-0.26566181998555494,1,5,473.34,1,0
926,6.825,-0.0796217050204226,5,1,2203.445,1,1
927,31.0,0.24826904178933473,14,2,473.34,1,0
928,5.3,-0.21972598912996674,5,1,1212.6508333333334,2,0
929,25.35,-0.08194373014382399,1,1,473.34,1,1
930,27.985,0.07205815552765792,1,56,161.43722222222223,1,0
931,26.7,-0.0030433333102374976,1,1,473.34,1,0
932,5.55,-0.1967580737021726,1,17,591.7180555555556,2,0
933,45.0,3.4275789808037387,1,2,473.34,2,0
934,25.545,-0.07054700615675034,1,1,473.34,1,1
935,5.1,-0.23810032147220203,4,1,473.34,1,0
936,5.5,-0.20135165678773143,3,2,473.34,2,0
937,26.99,0.013905640824384762,1,8,473.34,1,0
938,6.2,-0.1370414935899079,1,1,473.34,1,0
939,5.1675,-0.23189898430669756,2,1,1527.2280555555556,1,1
940,26.99,0.013905640824384762,21,1,473.34,1,0
941,26.05,-0.04103241326714949,8,56,473.34,2,0
942,5.598,-0.19234823394003614,5,6,473.34,1,0
943,5.3955,-0.21095224543654933,5,21,473.34,1,0
944,25.342395,-0.08238820237931996,1,1,473.34,1,1
945,30.0,0.18982430339408538,1,2,473.34,1,0
946,5.4,-0.21053882295884904,24,2,473.34,2,0
947,115.0,9.85859530058609,1,1,473.34,1,0
948,29.45,0.1576796972766982,1,27,473.34,1,0
949,6.2,-0.1370414935899079,1,1,473.34,2,0
950,27.25,0.029101272807149685,2,3,473.34,2,0
951,4.95066,-0.2518204354321491,1,1,473.34,1,1
952,5.11875,-0.23637772781511743,1,6,473.34,1,1
953,30.69,0.2301511728868075,8,1,473.34,1,0
954,0.3,-0.679084297685849,15,1,473.34,1,0
955,5.55,-0.1967580737021726,18,2,473.34,1,0
956,25.263128,-0.08702094145769627,2,2,473.34,1,1
957,32.25,0.3213249647833964,16,19,170.31944444444446,1,1
958,60.0,1.9431664552515657,1,1,473.34,2,0
959,26.95,0.011567851288574838,17,1,473.34,1,0
960,26.95,0.011567851288574838,17,9,3.35,1,0
961,27.3,0.03202350972691219,17,5,473.34,1,0
962,31.0,0.24826904178933473,5,1,1124.0936111111112,1,0
963,4.836,-0.26235444016395254,8,4,473.34,1,1
964,4.503135,-0.2929353008394433,1,1,473.34,1,1
965,26.95,0.011567851288574838,6,9,473.34,1,0
966,5.195,-0.22937251360964023,1,1,473.34,1,0
967,4.710225,-0.2739095984156758,1,1,473.34,1,1
968,27.49,0.04312801002200944,1,10,473.34,1,0
969,44.0,1.0080506409275762,1,2,473.34,1,0
970,5.349,-0.21522427770611904,5,2,473.34,2,0
971,27.3,0.03202350972691219,11,2,1663.7172222222223,1,0
972,27.9,0.06709035276406168,3,6,473.34,1,0
973,5.4,-0.21053882295884904,3,8,2.6108333333333333,2,0
974,26.79,0.002216693145334935,2,9,473.34,1,0
975,26.9,0.008645614368812329,5,1,473.34,1,0
976,28.9,0.12553509115931102,1,1,473.34,1,0
977,4.5942,-0.28456900796571505,1,1,473.34,1,1
978,47.042069,1.1858435678128738,13,1,473.34,1,0
979,26.47125,-0.01641256721815067,2,1,473.34,1,1
980,30.0,0.18982430339408538,2,1,473.34,1,0
981,27.4,0.037867983566437,3,8,473.34,1,0
982,4.998,-0.24747123096674198,1,6,473.34,1,0
983,0.3,-0.679084297685849,5,1,473.34,1,0
984,48.0,1.2418295945085736,2,12,6.152222222222222,2,0
985,27.99,0.07235037921963411,2,3,1661.1505555555555,1,0
986,27.99,0.07235037921963411,9,2,473.34,1,0
987,29.69,0.17170643449155815,1,19,154.26361111111112,1,0
988,28.5,0.10215719580121137,1,1,473.34,1,0
989,28.0,0.07293482660358669,17,1,1561.1922222222222,1,0
990,28.49,0.10157274841725877,17,9,473.34,1,0
991,28.75,0.1167683804000237,1,9,190.87444444444444,2,0
992,29.9,0.18397982955456035,1,5,1798.0013888888889,1,0
993,28.15,0.08170153736287401,2,3,2697.8480555555557,2,0
994,29.69,0.17170643449155815,2,1,473.34,1,0
995,35.5,0.5112703645679568,2,1,473.34,2,0
996,5.3,-0.21972598912996674,1,1,473.34,1,0
997,39.7,0.7567382658280042,9,19,473.34,2,0
998,60.69,1.9834933247442876,1,2,473.34,2,0
999,5.4,-0.21053882295884904,1,1,473.34,1,0
1000,38.0,0.6573822105560801,16,5,473.34,1,0
1001,32.99,0.36457407119588103,1,14,446.215,1,0
1002,29.09,0.13663959145440846,1,9,1654.315,1,0
1003,27.975285,0.07149036489414808,2,1,784.5227777777778,1,1
1004,30.88,0.24125567318190475,1,27,473.34,1,0
1005,28.95,0.12845732807907354,4,2,1659.726111111111,2,0
1006,7.0,-1.1544046796966496,1,19,473.34,1,0
1007,5.046308,-0.24303309473279852,5,8,187.1775,1,1
1008,5.45,-0.20594523987329022,1,1,473.34,1,0
1009,45.0,1.0664953793228256,13,2,473.34,1,0
1010,29.9,0.18397982955456035,1,6,473.34,1,0
1011,29.95,0.18690206647432286,4,33,473.34,1,0
1012,5.0,-1.2712941564871483,16,1,234.59972222222223,1,0
1013,29.99,0.1892398560101328,3,1,2754.6775,1,0
1014,30.97,0.2465156996374772,2,1,473.34,1,0
